element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mg	9	""	"200.38"	""	"2.24e+07"	C+	"218.084"	"224.270"	"1s2.2p.3p"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"3"	7	7		"T5633c4,LS"	""	
Mg	3	"200.4860"	"200.4862"	"6"	"3.33e+07"	B+	"52.77267"	"58.95485"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3D"	"1"	5	3		"c46"	"L1434"	
Mg	4	""	"201.176"	""	"1.09e+05"	D+	"68.85362"	"75.01459"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"4D*"	"1/2"	2	2		"c46"	""	
Mg	1	"202.5824"	"202.58242"	"9g"	"6.12e+07"	B+	"0.0000000"	"6.1182146"	"2p6.3s2"	"1S"	"0"	"3s.4p"	"1P*"	"1"	1	3		"c45"	"L6095"	
Mg	4	""	"202.688"	""	"1.34e+06"	C	"68.85362"	"74.96864"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"	2	4		"c46"	""	
Mg	3	"203.9553"	"203.9549"	"15"	"1.54e+08"	A	"52.77267"	"58.84972"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3D"	"2"	5	5		"c46"	"L1434"	
Mg	9	""	"204.48"	""	"3.71e+06"	D+	"218.084"	"224.146"	"1s2.2p.3p"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"2"	7	5		"T5633c4,LS"	""	
Mg	5	""	"205.46"	""	"8.04e+06"	C	"116.7862"	"122.82?"	"2s.2p4.(4P).3s"	"3P"	"1"	"2s2.2p3.(2P*).4s"	"3P*"	"2"	3	5		"c57,LS"	""	
Mg	5	""	"205.46"	""	"3.22e+07"	C	"116.7862"	"122.82?"	"2s.2p4.(4P).3s"	"3P"	"1"	"2s2.2p3.(2P*).4s"	"3P*"	"0"	3	1		"c57,LS"	""	
Mg	5	""	"205.46"	""	"8.04e+06"	C	"116.7862"	"122.82?"	"2s.2p4.(4P).3s"	"3P"	"1"	"2s2.2p3.(2P*).4s"	"3P*"	"1"	3	3		"c57,LS"	""	
Mg	3	"205.5491"	"205.5483"	"15"	"2.35e+08"	A	"52.92490"	"58.95485"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"3D"	"1"	3	3		"c46"	"L1434"	
Mg	6	""	"205.57"	""	"7.18e+06"	C	"142.686"	"148.715"	"2s.2p3.(3D*).3s"	"2D*"	"3/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"	4	4		"u22,LS"	""	
Mg	8	""	"205.57"	""	"6.81e+06"	C+	"192.033"	"198.062?"	"2s.2p.(1P*).3p"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"5/2"	6	6		"T7192c4,LS"	""	
Mg	8	""	"205.57"	""	"1.02e+08"	B+	"192.033"	"198.062?"	"2s.2p.(1P*).3p"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"7/2"	6	8		"T7192c4,LS"	""	
Mg	6	""	"205.57"	""	"6.46e+07"	B	"142.686"	"148.715"	"2s.2p3.(3D*).3s"	"2D*"	"5/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"	6	4		"u22,LS"	""	
Mg	3	"206.4902"	"206.4905"	"25"	"4.21e+08"	A	"52.77267"	"58.77511"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3D"	"3"	5	7		"c46"	"L1434"	
Mg	5	""	"208.41"	""	"1.03e+07"	C	"116.8717"	"122.82?"	"2s.2p4.(4P).3s"	"3P"	"0"	"2s2.2p3.(2P*).4s"	"3P*"	"1"	1	3		"c57,LS"	""	
Mg	3	"208.5891"	"208.5886"	"15"	"1.61e+08"	B+	"53.50290"	"59.44497"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"3P"	"1"	3	3		"c46"	"L1434"	
Mg	8	""	"208.70"	""	"8.97e+05"	D+	"165.626"	"171.564"	"2s2.3d"	"2D"	"3/2"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	4	4		"T7192c4,LS"	""	
Mg	3	"209.1963"	"209.1959"	"20"	"2.57e+08"	A	"52.92490"	"58.84972"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"3D"	"2"	3	5		"c46"	"L1434"	
Mg	3	"209.4207"	"209.4220"	"2"	"1.21e+07"	C+	"53.50290"	"59.42132"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"3P"	"0"	3	1		"c46"	"L1434"	
Mg	8	""	"209.45"	""	"7.98e+06"	C+	"165.647"	"171.564"	"2s2.3d"	"2D"	"5/2"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	6	4		"T7192c4,LS"	""	
Mg	3	"209.7936"	"209.7934"	"13"	"1.50e+08"	A	"53.04690"	"58.95485"	"2s2.2p5.3s"	"3P*"	"0"	"2s2.2p5.3p"	"3D"	"1"	1	3		"c46"	"L1434"	
Mg	3	"211.2773"	"211.2776"	"15"	"1.69e+08"	B+	"53.50290"	"59.36935"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"3P"	"2"	3	5		"c46"	"L1434"	
Mg	3	"213.4054"	"213.4049"	"16"	"2.36e+08"	B	"53.50290"	"59.31088"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"1P"	"1"	3	3		"c46"	"L1434"	
Mg	8	""	"215.64"	""	"1.16e+06"	D+	"178.613"	"184.361"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	4	2		"T7192c4,LS"	""	
Mg	8	""	"215.64"	""	"1.16e+05"	D	"178.613"	"184.361"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	4	4		"T7192c4,LS"	""	
Mg	9	""	"215.68"	""	"7.39e+07"	C	"219.499"	"225.246"	"1s2.2p.3p"	"3S"	"1"	"1s2.2p.3d"	"3P*"	"0"	3	1		"T5633c4,LS"	""	
Mg	3	"217.7694"	"217.7697"	"20"	"2.12e+08"	B+	"53.50290"	"59.19448"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"1D"	"2"	3	5		"c46"	"L1434"	
