element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Al	2	"201.6053"	"201.6052"	"150"	"9.82e+07"	C+	"11.846618"	"17.994485"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"4"	7	9		"T6298c4,LS"	"L4575"	
Al	2	"201.6193"	"201.6189"	"80"	"1.10e+07"	D	"11.846618"	"17.994066"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"3"	7	7		"T6298c4,LS"	"L4575"	
Al	2	"201.6234"	"201.6234"	"150"	"8.73e+07"	C+	"11.846753"	"17.994066"	"3s.3d"	"3D"	"2"	"3s.8f"	"3F*"	"3"	5	7		"T6298c4,LS"	"L4575"	
Al	2	""	"201.6288"	""	"4.32e+05"	E	"11.846618"	"17.993766"	"3s.3d"	"3D"	"3"	"3s.8f"	"3F*"	"2"	7	5		"T6298c4,LS"	""	
Al	2	"201.6334"	"201.6332"	"50"	"1.53e+07"	D	"11.846753"	"17.993766"	"3s.3d"	"3D"	"2"	"3s.8f"	"3F*"	"2"	5	5		"T6298c4,LS"	"L4575"	
Al	2	"201.6369"	"201.6370"	"100"	"8.25e+07"	C	"11.846869"	"17.993766"	"3s.3d"	"3D"	"1"	"3s.8f"	"3F*"	"2"	3	5		"T6298c4,LS"	"L4575"	
Al	2	"202.2081"	"202.2082"	"40"	"4.05e+07"	C+	"10.598337"	"16.727874"	"3p2"	"1D"	"2"	"3s.6p"	"1P*"	"1"	5	3		"T6533"	"L4575"	
Al	7	""	"203.4"	""	"3.48e+07"	B	"191.308?"	"197.401"	"2s2.2p2.(3P).4s"	"4P"	"5/2"	"2s.2p3.(3D*).3d?"	"4P*?"	"3/2"	6	4		"u22,LS"	""	
Al	9	""	"204.9"	""	"7.50e+06"	C+	"203.599"	"209.650?"	"2s2.3d"	"2D"	"3/2"	"2s.2p.(3P*).3s"	"2P*"	"1/2"	4	2		"T7192c4,LS"	""	
Al	6	""	"205.674"	""	"2.67e+05"	B+	"127.8283"	"133.855"	"2s2.2p3.(2D*).3p"	"3D"	"2"	"2s2.2p3.(4S*).3d"	"3D*"	"3"	5	7		"T7370c8"	""	
Al	7	""	"205.9"	""	"5.22e+07"	B+	"191.308?"	"197.328"	"2s2.2p2.(3P).4s"	"4P"	"5/2"	"2s.2p3.(3D*).3d?"	"4P*?"	"5/2"	6	6		"u22,LS"	""	
Al	6	""	"205.916"	""	"4.05e+05"	B+	"127.8163"	"133.8355"	"2s2.2p3.(2D*).3p"	"3D"	"1"	"2s2.2p3.(4S*).3d"	"3D*"	"2"	3	5		"T7370c8"	""	
Al	6	""	"205.996"	""	"1.78e+06"	B+	"127.8163"	"133.8331"	"2s2.2p3.(2D*).3p"	"3D"	"1"	"2s2.2p3.(4S*).3d"	"3D*"	"1"	3	3		"T7370c8"	""	
Al	6	""	"206.328"	""	"1.86e+06"	B+	"127.8283"	"133.8355"	"2s2.2p3.(2D*).3p"	"3D"	"2"	"2s2.2p3.(4S*).3d"	"3D*"	"2"	5	5		"T7370c8"	""	
Al	6	""	"206.409"	""	"8.00e+05"	B+	"127.8283"	"133.8331"	"2s2.2p3.(2D*).3p"	"3D"	"2"	"2s2.2p3.(4S*).3d"	"3D*"	"1"	5	3		"T7370c8"	""	
Al	11	""	"206.9"	""	"9.82e+07"	AA	"250.504"	"256.495"	"1s2.3s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"1/2"	2	2		"u35,T7164"	""	
